,name,rating,reviews,companytype,numemployee
1502,RITES,3.9,419,BPO , 1k-5k Employees 
1503,Gestamp,3.6,419,Auto Components , 501-1k Employees 
1504,Carborundum Universal,3.9,418,Metals & Mining , 1k-5k Employees 
1505,Yokogawa,3.6,418,Auto Components , 1k-5k Employees 
1506,Kellogg,4.3,418,Food Processing , 501-1k Employees 
1507,TCI Express,3.9,418,Logistics , 1k-5k Employees 
1508,Quality Austria Central Asia,3.4,418,Other , 201-500 Employees 
1509,Doosan Power Systems,4.0,417,Power , 501-1k Employees 
1510,Bunge India,4.0,417,Food Processing , 1k-5k Employees 
1511,Fiat India Automobiles,3.7,417,Automobile , 1k-5k Employees 
1512,Magneti Marelli Motherson Auto System,3.9,417,Auto Components , 11-50 Employees 
1513,Y-Axis Overseas Careers,3.6,417,Other , 1k-5k Employees 
1514,Medley Pharmaceuticals,4.1,417,Pharma , 1k-5k Employees 
1515,Glorious Insight,4.9,417,IT Services & Consulting , 201-500 Employees 
1516,Grab A Grub Services,3.9,416,Logistics , 51-200 Employees 
1517,Voltech,3.4,416,Consumer Electronics & Appliances , 501-1k Employees 
1518,PPG Asian Paints,4.0,416,1k-5k Employees , 26 years old 
1519,ALLEN Career Institute,4.1,416,Education & Training , 10k-50k Employees 
1520,Eli Research,3.4,415,IT Services & Consulting , 51-200 Employees 
1521,Integra Software Services,4.1,415,IT Services & Consulting , 1k-5k Employees 
1522,IL&FS Engineering and Construction,4.4,415,Engineering & Construction , 1k-5k Employees 
1523,Patel Infrastructure,3.9,415,Engineering & Construction , 201-500 Employees 
1524,Scope International,4.1,415,Non-Profit , 201-500 Employees (Global) 
1525,ShareChat,3.7,414,Internet , 1k-5k Employees 
1526,Sulekha.com,4.3,414,Internet , 1k-5k Employees 
1527,SourceHOV,3.5,414,IT Services & Consulting , 1k-5k Employees 
1528,Updater Services,3.7,414,Facility Management Services , 50k-1 Lakh Employees 
1529,Zydus Healthcare,4.1,414,Mumbai +56 more,
1530,Siemens Energy,4.2,413,Power , 1k-5k Employees 
1531,Tracxn,3.3,413,IT Services & Consulting , 501-1k Employees 
1532,Infra.Market,3.9,413,Building Material , 1k-5k Employees 
1533,Coal India,4.0,412,Metals & Mining , 1 Lakh+ Employees 
1534,Orient Technologies,3.8,412,IT Services & Consulting , 1k-5k Employees 
1535,Ziqitza Health Care,4.2,412,Healthcare , 5k-10k Employees 
1536,Shriram Automall,4.0,412,Automobile , 1k-5k Employees 
1537,CARE,4.3,412,Financial Services , 51-200 Employees 
1538,Adidas,4.0,412,Fashion & Textile , 1k-5k Employees 
1539,TO THE NEW,4.0,412,IT Services & Consulting , 1k-5k Employees 
1540,eTeam,3.4,412,Recruitment , 1k-5k Employees 
1541,Adidas,4.0,412,Fashion & Textile , 1k-5k Employees 
1542,ZTE Corporation,4.0,411,IT Services & Consulting , 201-500 Employees 
